datetime,open,high,low,close,volume
1987-02-02,17293676380160.0,17293676380160.0,17293676380160.0,17293676380160.0,0.0
1987-02-03,16755172835328.0,16755172835328.0,16755172835328.0,16755172835328.0,0.0
1987-02-04,17333909192704.0,17333909192704.0,17333909192704.0,17333909192704.0,0.0
1987-02-05,17333909192704.0,17333909192704.0,17333909192704.0,17333909192704.0,0.0
1987-02-06,17257565519872.0,17257565519872.0,17257565519872.0,17257565519872.0,0.0
1987-02-09,17257565519872.0,17257565519872.0,17257565519872.0,17257565519872.0,0.0
1987-02-10,17257565519872.0,17257565519872.0,17257565519872.0,17257565519872.0,0.0
1987-02-11,17257565519872.0,17257565519872.0,17257565519872.0,17257565519872.0,0.0
1987-02-12,17257565519872.0,17257565519872.0,17257565519872.0,17257565519872.0,0.0
1987-02-13,17333909192704.0,17333909192704.0,17333909192704.0,17333909192704.0,0.0
1987-02-16,17390171586560.0,17390171586560.0,17390171586560.0,17390171586560.0,0.0
1987-02-17,17390171586560.0,17390171586560.0,17390171586560.0,17390171586560.0,0.0
1987-02-18,17333909192704.0,17333909192704.0,17333909192704.0,17333909192704.0,0.0
1987-02-19,17293676380160.0,17293676380160.0,17293676380160.0,17293676380160.0,0.0
1987-02-20,17333909192704.0,17333909192704.0,17333909192704.0,17333909192704.0,0.0
1987-02-23,17333909192704.0,17333909192704.0,17333909192704.0,17333909192704.0,0.0
1987-02-24,17293676380160.0,17293676380160.0,17293676380160.0,17293676380160.0,0.0
1987-02-25,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-02-26,17257565519872.0,17257565519872.0,17257565519872.0,17257565519872.0,0.0
1987-02-27,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-02,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-03,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-04,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-05,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-06,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-09,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-10,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-11,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-12,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
1987-03-13,17277643653120.0,17277643653120.0,17277643653120.0,17277643653120.0,0.0
