Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-05-03 00:00:00+02:00,9.815700883168754,10.574781813434983,9.815700883168754,10.470081329345703,20721925,0.0,0.0
2007-05-04 00:00:00+02:00,10.358836782595299,10.470081329345703,10.306486217801465,10.470081329345703,2353950,0.0,0.0
2007-05-07 00:00:00+02:00,10.443905724199592,10.502800351654551,10.339205240110314,10.470081329345703,1534106,0.0,0.0
2007-05-08 00:00:00+02:00,10.470082341869876,10.587870317173868,10.40464364542545,10.437362670898438,1685154,0.0,0.0
2007-05-09 00:00:00+02:00,10.437362404771092,10.483169555664062,10.371925000992062,10.483169555664062,1012914,0.0,0.0
2007-05-10 00:00:00+02:00,10.470082200878199,11.386214256286621,10.470082200878199,11.386214256286621,4371409,0.0,0.0
2007-05-11 00:00:00+02:00,11.157182121873213,11.647967543142636,11.157182121873213,11.556354522705078,1611456,0.0,0.0
2007-05-14 00:00:00+02:00,11.647967867076858,11.71340592506597,11.189901461153068,11.517091751098633,1298173,0.0,0.0
2007-05-15 00:00:00+02:00,11.451651981861355,11.647966126492994,11.255337837229716,11.307687759399414,1251449,0.0,0.0
2007-05-16 00:00:00+02:00,11.451652605347704,11.451652605347704,11.131006409857783,11.189900398254395,1411941,0.0,0.0
2007-05-17 00:00:00+02:00,11.13100684011349,11.484372075148983,11.13100684011349,11.32077693939209,907560,0.0,0.0
2007-05-18 00:00:00+02:00,11.274970826141832,11.582528899951582,11.189900582835097,11.523634910583496,536669,0.0,0.0
2007-05-21 00:00:00+02:00,11.45165369310952,11.582529809087745,11.196445525151388,11.517091751098633,206125,0.0,0.0
2007-05-22 00:00:00+02:00,11.366584891365846,11.680687057660005,11.320777733740963,11.41893482208252,528379,0.0,0.0
2007-05-23 00:00:00+02:00,11.451649833952391,11.811559031604647,11.418930815984004,11.772295951843262,493919,0.0,0.0
2007-05-24 00:00:00+02:00,11.73303454646623,12.007873562024127,11.680684626644762,11.9751558303833,588292,0.0,0.0
2007-05-25 00:00:00+02:00,11.857366547758696,12.00787353515625,11.818104753478838,12.00787353515625,381475,0.0,0.0
2007-05-28 00:00:00+02:00,11.942437538127432,12.014418359534995,11.90971851348877,11.90971851348877,71261,0.0,0.0
2007-05-29 00:00:00+02:00,11.948979586717819,12.138749639428429,11.942435524694009,12.047135353088379,262323,0.0,0.0
2007-05-30 00:00:00+02:00,12.11257572816688,12.236907766619595,11.916262866555208,12.020962715148926,667390,0.0,0.0
2007-05-31 00:00:00+02:00,12.138752519296489,12.753868675535417,12.119120328567401,12.16492748260498,498430,0.0,0.0
2007-06-01 00:00:00+02:00,12.321977402741073,12.642623578069095,12.321977402741073,12.56409740447998,444313,0.0,0.0
2007-06-04 00:00:00+02:00,12.753866635393436,13.283915044339548,12.564096568016787,12.694973945617676,790950,0.0,0.0
2007-06-05 00:00:00+02:00,12.85202612094447,12.956725966632748,11.98824335703813,12.328521728515625,752810,0.0,0.0
2007-06-06 00:00:00+02:00,12.204188567920959,12.269627908858336,11.615247409453389,11.962068557739258,707786,0.0,0.0
2007-06-07 00:00:00+02:00,11.909719080531785,12.073314211514154,11.490914512419378,11.78538703918457,372567,0.0,0.0
2007-06-08 00:00:00+02:00,11.517090847098835,11.778843058509823,11.333863524512978,11.523634910583496,479114,0.0,0.0
2007-06-11 00:00:00+02:00,11.536721966760473,11.74612425628496,11.3469518680647,11.471283912658691,369593,0.0,0.0
2007-06-12 00:00:00+02:00,11.549810071188451,12.171471583928655,11.549810071188451,11.896631240844727,1287111,0.0,0.0
2007-06-13 00:00:00+02:00,11.896632291264572,11.896632291264572,11.66759908213767,11.752669334411621,816010,0.0,0.0
2007-06-14 00:00:00+02:00,11.968612163483012,12.269627439903626,11.929349076820005,12.099488258361816,660286,0.0,0.0
2007-06-15 00:00:00+02:00,12.204189761395112,12.374328966078055,12.00787559237564,12.302348136901855,766417,0.0,0.0
2007-06-18 00:00:00+02:00,12.184558113937115,12.269628356561995,12.007874856252071,12.092945098876953,238217,0.0,0.0
2007-06-19 00:00:00+02:00,12.092946150866645,12.106034278869629,11.99478906383539,12.106034278869629,163523,0.0,0.0
2007-06-20 00:00:00+02:00,12.106032321305122,12.236907125187093,12.040592982868889,12.099488258361816,138717,0.0,0.0
2007-06-21 00:00:00+02:00,12.106032321305122,12.230364353240619,11.909718178986918,12.099488258361816,184929,0.0,0.0
2007-06-22 00:00:00+02:00,12.217276238651689,12.223820301601048,11.831192016601562,11.831192016601562,272012,0.0,0.0
2007-06-25 00:00:00+02:00,11.837735664726324,11.948980857976595,11.680684614429369,11.857366561889648,250187,0.0,0.0
2007-06-26 00:00:00+02:00,11.778840425668097,12.034048516549547,11.654507120241679,11.746121406555176,225873,0.0,0.0
2007-06-27 00:00:00+02:00,11.77884278347947,11.77884278347947,11.373126348866945,11.451652526855469,359808,0.0,0.0
2007-06-28 00:00:00+02:00,11.706860821399335,11.706860821399335,11.255338519572867,11.353495597839355,525667,0.0,0.0
2007-06-29 00:00:00+02:00,11.386215941609164,11.877001389738238,11.386215941609164,11.752669334411621,735902,0.0,0.0
2007-07-02 00:00:00+02:00,11.778842855756274,11.78538691912829,11.418933571261414,11.61524772644043,400912,0.0,0.0
2007-07-03 00:00:00+02:00,11.733034253566602,12.204187393188477,11.615246291410322,12.204187393188477,482680,0.0,0.0
2007-07-04 00:00:00+02:00,12.125664982500684,12.302348252679785,11.92280674773872,12.07985782623291,210051,0.0,0.0
2007-07-05 00:00:00+02:00,12.236907958984375,12.465942431625042,11.955524852220826,12.236907958984375,833566,0.0,0.0
2007-07-06 00:00:00+02:00,12.354695053773279,12.721147047145788,12.243449868715892,12.701516151428223,729723,0.0,0.0
2007-07-09 00:00:00+02:00,12.596818029914138,12.812764389241986,12.51829313733792,12.76041316986084,392124,0.0,0.0
2007-07-10 00:00:00+02:00,12.812761153719373,12.812761153719373,12.59681484892303,12.793128967285156,1061624,0.0,0.0
2007-07-11 00:00:00+02:00,12.505203256716285,12.721148294775135,12.289258218657437,12.622992515563965,605076,0.0,0.0
2007-07-12 00:00:00+02:00,12.629537057903478,12.891290572815205,12.498662236943117,12.76041316986084,138901,0.0,0.0
2007-07-13 00:00:00+02:00,12.721146353767994,13.002530686695044,12.668796440710071,12.884742736816406,749993,0.0,0.0
2007-07-16 00:00:00+02:00,12.904374251297678,13.015619435634965,12.806217191351845,12.956724166870117,139419,0.0,0.0
2007-07-17 00:00:00+02:00,12.956725925247042,12.956725925247042,12.6491678702756,12.74732494354248,192334,0.0,0.0
2007-07-18 00:00:00+02:00,12.629535681024107,12.976358114498534,12.498660874331794,12.74732494354248,375565,0.0,0.0
2007-07-19 00:00:00+02:00,12.760410853847,13.38207227281296,12.668797850304001,13.3231782913208,979034,0.0,0.0
2007-07-20 00:00:00+02:00,13.18575934829494,13.480230573725427,13.159584386456052,13.277372360229492,567522,0.0,0.0
2007-07-23 00:00:00+02:00,13.38861800194287,13.591476222107786,13.231566934749585,13.52603816986084,378988,0.0,0.0
2007-07-24 00:00:00+02:00,13.447510649528208,14.003734038150236,13.447510649528208,13.859769821166992,1192776,0.0,0.0
2007-07-25 00:00:00+02:00,13.60456296642991,13.853227046896563,12.891289750933295,13.087602615356445,852138,0.0,0.0
2007-07-26 00:00:00+02:00,13.336269502247799,13.362445761276424,12.498664070255927,12.596819877624512,784352,0.0,0.0
2007-07-27 00:00:00+02:00,12.302347468633144,12.95018264201031,12.302347468633144,12.531380653381348,811014,0.0,0.0
2007-07-30 00:00:00+02:00,12.662255405315308,13.061427783529739,12.564098326623085,12.83239459991455,315481,0.0,0.0
2007-07-31 00:00:00+02:00,13.002532616972443,13.329722849648704,12.825849374928536,13.07451343536377,450419,0.0,0.0
2007-08-01 00:00:00+02:00,12.825852185891442,12.989447338083714,12.459400077778435,12.603363037109375,1097816,0.0,0.0
2007-08-02 00:00:00+02:00,12.89129064396027,12.924008381133174,12.15838389655544,12.302348136901855,964053,0.0,0.0
2007-08-03 00:00:00+02:00,12.302345679843096,12.69497393946523,12.269626658207919,12.426677703857422,560594,0.0,0.0
2007-08-06 00:00:00+02:00,12.197645921096491,12.407046908460249,11.824648516203109,12.132207870483398,604479,0.0,0.0
2007-08-07 00:00:00+02:00,12.302344943462113,12.413588835764948,12.001329704236985,12.073311805725098,166831,0.0,0.0
2007-08-08 00:00:00+02:00,12.23036569006898,12.249996590047804,11.890087289791555,12.066770553588867,444130,0.0,0.0
2007-08-09 00:00:00+02:00,11.981700364035898,12.092944270778018,11.353494846503493,11.569439888000488,623134,0.0,0.0
2007-08-10 00:00:00+02:00,11.34040641784668,11.517089658716952,11.255337474314656,11.34040641784668,725816,0.0,0.0
2007-08-13 00:00:00+02:00,11.739580787051352,12.09949010283339,11.536722550865708,11.778843879699707,231319,0.0,0.0
2007-08-14 00:00:00+02:00,11.713405191062924,11.994788306384839,11.530177865576851,11.739580154418945,238074,0.0,0.0
2007-08-16 00:00:00+02:00,11.785386563163273,11.785386563163273,10.6991153246148,10.954322814941406,888679,0.0,0.0
2007-08-17 00:00:00+02:00,11.196441979816456,11.314229930500682,10.82998871291484,10.895426750183105,533629,0.0,0.0
2007-08-20 00:00:00+02:00,11.196443865989705,11.366583049748478,10.836534600383276,10.84962272644043,748437,0.0,0.0
2007-08-21 00:00:00+02:00,10.967410402097995,11.150636415990865,10.816902765973072,10.928147315979004,366100,0.0,0.0
2007-08-22 00:00:00+02:00,11.045937675249322,11.216075580394026,10.993586458207384,11.13754940032959,469389,0.0,0.0
