datetime,open,high,low,close,volume
2000-01-03,144609.60499797924,144609.60499797924,137335.48050057224,138499.34375,561302.0
2000-01-04,136462.53125,138208.3254080313,133261.92111384743,136462.53125,660208.0
2000-01-05,132389.0456120446,135880.6177381942,132098.0757184626,132970.96875,556708.0
2000-01-06,133261.9375,135298.69343917846,131807.1130183874,133261.9375,526051.0
2000-01-07,135007.7578627243,135298.72782776455,131225.21491405164,132389.078125,526295.0
2000-01-10,134716.76313767908,135007.7247066568,132098.0757184626,132970.96875,602327.0
2000-01-11,132389.03439896158,132389.03439896158,127442.62987306101,128606.484375,828903.0
2000-01-12,128024.5859375,129188.44906382314,126860.73113578257,128024.5859375,497870.0
2000-01-13,128315.54093733111,128897.47243271902,123660.09729883262,125114.921875,1334067.0
2000-01-14,125987.83627452966,126569.76782993689,122205.28532668555,123369.1484375,1085910.0
2000-01-17,125696.86093022191,125696.86093022191,121623.35686672179,122496.25,707477.0
2000-01-18,122205.27910329399,122205.27910329399,119004.66819845613,120168.53125,980572.0
2000-01-19,120459.50973232648,121623.37294697943,116676.96677161392,119877.578125,1279561.0
2000-01-20,121332.36137196948,121623.33123815231,116676.92675907917,117840.78125,1055647.0
2000-01-21,117258.88807799529,119586.60597820974,116385.98658138493,118131.78125,1018091.0
2000-01-24,118713.70074118784,119877.5554107083,116385.97475293737,116967.90625,692308.0
2000-01-25,116385.98278039743,117258.88424850015,113476.33341900264,114349.2265625,839215.0
2000-01-26,115513.07992577736,116095.01141405472,112603.43080899521,114931.1484375,805052.0
2000-01-27,116385.98135508718,118713.70747538102,116095.01975235307,117258.8828125,677458.0
2000-01-28,117840.81839476852,117840.81839476852,114931.16876340649,115804.0703125,532370.0
2000-01-31,114640.19201778056,119004.66588948108,113185.3673938804,118422.734375,684490.0
2000-02-01,119295.64178407234,119295.64178407234,114931.16738921382,116385.9921875,907859.0
2000-02-02,116385.97118150585,117549.83413991668,114349.21516658919,115513.078125,508670.0
2000-02-03,115513.103540428,116095.03514767118,112021.52222157523,112312.4921875,952034.0
2000-02-04,111439.59061433203,114349.24032594162,109402.84247589041,112312.4921875,756809.0
2000-02-07,112312.4542426203,115222.10297120202,111148.5914213462,112021.484375,698815.0
2000-02-08,112021.50848062805,113476.333157979,110275.72219764905,111730.546875,686121.0
2000-02-09,111439.59061433203,114931.1719331848,110275.73572445202,112312.4921875,1158398.0
2000-02-10,110857.6576089513,118131.78125,110857.6576089513,118131.78125,1089660.0
2000-02-11,120459.50495254369,120459.50495254369,112894.41933129799,116385.9921875,765809.0
2000-02-14,114058.26590180783,114349.22751051739,109111.8602815072,111439.578125,1085047.0
2000-02-15,110566.70581526803,111730.56911869673,109111.88084828565,109693.8125,613971.0
2000-02-16,109111.84798461807,111148.60398985921,108820.88640869982,110275.7109375,752159.0
2000-02-17,110566.70581526803,111730.56911869673,107948.02586946393,109693.8125,1538255.0
2000-02-18,112021.49269467723,112021.49269467723,109111.84375,109111.84375,783865.0
2000-02-21,110566.68497426588,113185.3727510737,109402.83021482218,111439.578125,557945.0
2000-02-22,112021.52222157523,113767.31704330479,110857.66733169521,112312.4921875,767646.0
2000-02-23,113767.29081464255,114640.18386196162,110566.67187500001,110566.671875,552864.0
2000-02-24,110275.73492633857,113476.34625610235,105911.2603905118,107657.046875,765134.0
2000-02-25,107657.02523606394,108820.88820819184,104456.41454961916,107075.09375,981266.0
2000-02-28,108238.97977285106,108238.97977285106,102710.64196482801,104747.3984375,928934.0
2000-02-29,105620.27935396525,112894.41114236412,104165.45466120656,111439.578125,1195316.0
2000-03-01,114058.24377670656,120168.51129578217,113476.31234756549,119004.6484375,1574855.0
2000-03-02,120168.51129578217,120168.51129578217,114640.17520584764,119004.6484375,768377.0
2000-03-03,120750.44667106433,120750.44667106433,114058.25536738629,114931.1484375,1151216.0
2000-03-06,118131.78632177174,127151.69669408319,116967.92315939335,126569.7734375,1648918.0
