Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00+01:00,144609.58868364143,144609.58868364143,137335.4650068751,138499.328125,561302,0.0,0.0
2000-01-04 00:00:00+01:00,136462.546875,138208.34123292522,133261.93637237663,136462.546875,660208,0.0,0.0
2000-01-05 00:00:00+01:00,132389.07672528466,135880.64967200157,132098.10676332077,132971.0,556708,0.0,0.0
2000-01-06 00:00:00+01:00,133261.953125,135298.70930298866,131807.12847280884,133261.953125,526051,0.0,0.0
2000-01-07 00:00:00+01:00,135007.6941264631,135298.66395413835,131225.1529635037,132389.015625,526295,0.0,0.0
2000-01-10 00:00:00+01:00,134716.79479796469,135007.75643532234,132098.10676332077,132971.0,602327,0.0,0.0
2000-01-11 00:00:00+01:00,132389.04244124136,132389.04244124136,127442.63761485995,128606.4921875,828903,0.0,0.0
2000-01-12 00:00:00+01:00,128024.59375000001,129188.45694734609,126860.73887726017,128024.59375,497870,0.0,0.0
2000-01-13 00:00:00+01:00,128315.51690026626,128897.44828664223,123660.07413386166,125114.8984375,1334067,0.0,0.0
2000-01-14 00:00:00+01:00,125987.83627452966,126569.76782993689,122205.28532668555,123369.1484375,1085910,0.0,0.0
2000-01-17 00:00:00+01:00,125696.85291359507,125696.85291359507,121623.34910989269,122496.2421875,707477,0.0,0.0
2000-01-18 00:00:00+01:00,122205.27910329399,122205.27910329399,119004.66819845613,120168.53125,980572,0.0,0.0
2000-01-19 00:00:00+01:00,120459.49403147676,121623.35709443026,116676.95156378578,119877.5625,1279561,0.0,0.0
2000-01-20 00:00:00+01:00,121332.36941595106,121623.33930142435,116676.93449441902,117840.7890625,1055647,0.0,0.0
2000-01-21 00:00:00+01:00,117258.89583276756,119586.61388692277,116385.99427842895,118131.7890625,1018091,0.0,0.0
2000-01-24 00:00:00+01:00,118713.71659939746,119877.57142438987,116385.99030020085,116967.921875,692308,0.0,0.0
2000-01-25 00:00:00+01:00,116385.95892543528,117258.86021462442,113476.31016041449,114349.203125,839215,0.0,0.0
2000-01-26 00:00:00+01:00,115513.09562989151,116095.02719728302,112603.44611753976,114931.1640625,805052,0.0,0.0
2000-01-27 00:00:00+01:00,116385.98135508718,118713.70747538102,116095.01975235307,117258.8828125,677458,0.0,0.0
2000-01-28 00:00:00+01:00,117840.78659514728,117840.78659514728,114931.13774896102,115804.0390625,532370,0.0,0.0
2000-01-31 00:00:00+01:00,114640.17689185892,119004.65018769953,113185.35245991206,118422.71875,684490,0.0,0.0
2000-02-01 00:00:00+01:00,119295.60975282242,119295.60975282242,114931.13652983881,116385.9609375,907859,0.0,0.0
2000-02-02 00:00:00+01:00,116385.96330996945,117549.82618966469,114349.20743280476,115513.0703125,508670,0.0,0.0
2000-02-03 00:00:00+01:00,115513.07139988498,116095.00284521062,112021.49105253514,112312.4609375,952034,0.0,0.0
2000-02-04 00:00:00+01:00,111439.5596072095,114349.2085092337,109402.8120354758,112312.4609375,756809,0.0,0.0
