Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-01-18 00:00:00+01:00,40.07233656447562,40.43154663550541,40.07233656447562,40.54067611694336,2547,0.0,0.0,0.0
2019-01-21 00:00:00+01:00,40.540676475900426,40.540676475900426,40.363341934256944,40.404266357421875,425,0.0,0.0,0.0
2019-01-22 00:00:00+01:00,40.367894522357005,40.367894522357005,40.17692310968876,40.2087516784668,2675,0.0,0.0,0.0
2019-01-23 00:00:00+01:00,40.085992150166334,40.20875851660176,39.84045594824107,39.84954833984375,11068,0.0,0.0,0.0
2019-01-24 00:00:00+01:00,40.0632532084574,40.217848138437006,40.0632532084574,40.1314582824707,1010,0.0,0.0,0.0
2019-01-25 00:00:00+01:00,40.386085988832896,40.445195201542745,40.36334980829998,40.32697677612305,23450,0.0,0.0,0.0
2019-01-28 00:00:00+01:00,40.32242806527543,40.32697599510475,40.11781632065831,39.77679443359375,1434,0.0,0.0,0.0
2019-01-29 00:00:00+01:00,39.972316096548816,40.03142531152825,39.831358016129826,39.822265625,5357,0.0,0.0,0.0
2019-01-30 00:00:00+01:00,39.981403767465416,40.013232336243455,39.95412312824247,40.2087516784668,12522,0.0,0.0,0.0
2019-01-31 00:00:00+01:00,40.4088210339509,40.56341595625779,40.367896603952374,40.69527816772461,2198,0.0,0.0,0.0
2019-02-01 00:00:00+01:00,40.77257734574208,40.7771252757232,40.69527988133377,40.763484954833984,8262,0.0,0.0,0.0
2019-02-04 00:00:00+01:00,40.777127179148565,40.96355068842675,40.76348685762264,40.94536590576172,1406,0.0,0.0,0.0
2019-02-05 00:00:00+01:00,41.25001222067176,41.25456015096484,41.21818364672898,41.34095001220703,1171,0.0,0.0,0.0
2019-02-06 00:00:00+01:00,41.40004880351969,41.45915800127301,41.363672311493076,41.45006561279297,504,0.0,0.0,0.0
2019-02-07 00:00:00+01:00,41.504643275831164,41.504643275831164,41.345500396670914,41.004478454589844,453,0.0,0.0,0.0
2019-02-08 00:00:00+01:00,40.96809710139997,41.02720978456221,40.936268529333454,40.9908332824707,20610,0.0,0.0,0.0
2019-02-11 00:00:00+01:00,41.16816825945816,41.55011116012009,41.16816825945816,41.486454010009766,1583,0.0,0.0,0.0
2019-02-12 00:00:00+01:00,41.868394565695645,41.868394565695645,41.72289203292654,41.85929870605469,20124,0.0,0.0,0.0
2019-02-13 00:00:00+01:00,42.1776014522564,42.27308719488519,41.97753410443123,42.15486526489258,20708,0.0,0.0,0.0
2019-02-14 00:00:00+01:00,42.36401891079685,42.36401891079685,42.02754489436684,42.0139045715332,12941,0.0,0.0,0.0
2019-02-15 00:00:00+01:00,41.959330823031024,42.559529182524884,41.959330823031024,42.459495544433594,5254,0.0,0.0,0.0
2019-02-18 00:00:00+01:00,42.45040974676776,42.54134753967136,42.37311227589426,42.44586181640625,666,0.0,0.0,0.0
2019-02-19 00:00:00+01:00,42.53225112622584,42.53225112622584,42.34582415863092,42.332183837890625,2058,0.0,0.0,0.0
2019-02-20 00:00:00+01:00,42.45495875083023,42.473147003681824,42.3503771641972,42.364017486572266,491,0.0,0.0,0.0
2019-02-21 00:00:00+01:00,42.52770296926276,42.605000432414506,42.25943407865823,42.313995361328125,1440,0.0,0.0,0.0
2019-02-22 00:00:00+01:00,42.44130507674283,42.44130507674283,42.44130507674283,42.58681106567383,9800,0.0,0.0,0.0
2019-02-25 00:00:00+01:00,42.66411735356273,42.86418119165608,42.65956942320362,42.80961990356445,19429,0.0,0.0,0.0
2019-02-26 00:00:00+01:00,42.48678769572057,42.65047850375461,42.41858261419729,42.591365814208984,10056,0.0,0.0,0.0
2019-02-27 00:00:00+01:00,42.85964286725787,42.85964286725787,42.204879563969875,42.35947799682617,130,0.0,0.0,0.0
2019-02-28 00:00:00+01:00,42.345828198785014,42.37765677323378,42.2548904058041,42.35037612915039,557,0.0,0.0,0.0
2019-03-01 00:00:00+01:00,42.62319699491103,42.63683731823849,42.568635701601174,42.464054107666016,1106,0.0,0.0,0.0
